service_id,date,exception_type
22663,20260119,1
22663,20260126,1
22663,20260202,1
22663,20260209,1
22663,20260216,1
22663,20260223,1
22663,20260302,1
22663,20260309,1
22663,20260316,1
22663,20260323,1
22663,20260330,1
22663,20260406,1
22664,20260120,1
22664,20260127,1
22664,20260203,1
22664,20260210,1
22664,20260217,1
22664,20260224,1
22664,20260303,1
22664,20260310,1
22664,20260317,1
22664,20260324,1
22664,20260331,1
22664,20260407,1
22665,20260121,1
22665,20260122,1
22665,20260128,1
22665,20260129,1
22665,20260204,1
22665,20260205,1
22665,20260325,1
22665,20260326,1
22665,20260401,1
22665,20260402,1
22665,20260408,1
22665,20260409,1
22665,20260304,1
22665,20260305,1
22665,20260311,1
22665,20260312,1
22665,20260318,1
22665,20260319,1
22665,20260211,1
22665,20260212,1
22665,20260218,1
22665,20260219,1
22665,20260225,1
22665,20260226,1
22666,20260123,1
22666,20260130,1
22666,20260206,1
22666,20260213,1
22666,20260220,1
22666,20260227,1
22666,20260306,1
22666,20260313,1
22666,20260320,1
22666,20260327,1
22666,20260403,1
22667,20260110,1
22667,20260124,1
22667,20260131,1
22667,20260207,1
22667,20260214,1
22667,20260221,1
22667,20260228,1
22667,20260307,1
22667,20260314,1
22667,20260321,1
22667,20260328,1
22667,20260404,1
22668,20260111,1
22668,20260125,1
22668,20260201,1
22668,20260208,1
22668,20260215,1
22668,20260222,1
22668,20260301,1
22668,20260308,1
22668,20260315,1
22668,20260322,1
22668,20260329,1
22668,20260405,1
22742,20260112,1
22742,20260113,1
22742,20260114,1
22742,20260115,1
22743,20260116,1
22744,20260117,1
22745,20260118,1
22754,20260109,1
